Item,Description,Qty,Price
Fulltone69MKII,Fulltone  69 mkII pedal,1,"TK17,500.00"
Electric Guitar Hard Shell Case,Reverend Electric Guitar Hard Shell Case,1,"TK12,000.00"
Harmonica Holder,Hohner HH-01 Harmonica Holder,1,"TK1,150.00"
SDSH1N,Seymour Duncan SH-1n '59 Model (Neck) Black,1,"TK8,000.00"
MXRM82,MXR M82 Bass Envelope Filter Pedal,1,"TK15,000.00"
CarvinBoltTTransPearlBlue,Carvin BOLT-T Six String Electric Guitar with Wilkinson Tremolo Translucent Pearl Blue with Original Hardshell Casing,1,"TK110,000.00"
Tech21BritishV2,Tech 21 SansAmp Character Series British V2,1,"TK15,000.00"
AllpartsBP-0071-002GoldTremoloArm,"Screw-in metric tremolo arm, 6mm diameter, Gold finish. Fits most imports and the original Floyd Rose®.",1,TK960.00
DBZBARFMFRTGE,DBZ Barchetta Tiger Eye (BARFM-FR-TGE) with Original DBZ Hardcase.,1,"TK65,000.00"
FernandesDragonflyDeluxeBlue,Fernandes Dragonfly® Deluxe See Thru Blue with Original Hard Case,1,"TK81,500.00"
AllPartsPC-0743-023PickupRings,PC-0743-023 Humbucking Pickup Rings Slanted Black Plastic,1,TK750.00
FulltoneMDV,Fulltone Mini Deja'Vibe,1,"TK21,500.00"
SDSHR1B-W,Seymour Duncan Hot Rails™ for Strat SHR-1 (Bridge) White,1,"TK7,500.00"
SDSH13,"Seymour Duncan ""Dimebag"" Darrell Dimebucker SH-13 (Black)",1,"TK9,500.00"
Studio Accessories,On-Stage Stands MBS5500: Articulating Mic Boom with Steel Stand and Zinc-cast C-clamp Mount,1,"TK7,900.00"
MXRM87,MXR M87 Bass Compressor,1,"TK18,000.00"
SweetwaterOn-StageStandsGS7361,On-Stage Stands GS7361 - 3-Space Foldable Multi Guitar Rack,1,"TK6,075.00"
Advance Paid,9400 taka advance paid as per system,1,TK0.00
CarvinSNK24PCableSnake,Carvin SNK24P Conventional 100 Feet 24 Channel Cable Snake,1,"TK48,500.00"
CarvinB2000-10.4HalfStackBassSystem,"Carvin B2000-10.4 Half Stack Bass System: Package Includes: B2000 Bass Head, BRX10.4 Cabinet and PRO5TL Speaker Cable",1,"TK132,000.00"
Acoustic Bass,Breedlove Passport B350/Sme-4 with Gig Bag,1,"TK48,000.00"
AcousticGuitarBL,Breedlove Passport C200/SMP with Gig Bag,1,"TK24,000.00"
CarvinDB35DollyBoard,Carvin DB35 Dolly Board,1,"TK10,000.00"
ReverendMercalli4BassCopperFire,Reverend Mercalli 4 Bass Copper Fire with original Hard Case,1,"TK85,000.00"
Apogee Mic,Apogee Mic,1,"TK18,000.00"
CarvinXB76EmeraldGreenQuilt,Carvin XB76 Six String Bass Emerald Green Quilt with Original Hardshell casing,1,"TK180,000.00"
ReverendKingboltRAMetallicGoldBurst,Reverend Kingbolt RA Guitar Metallic Gold Burst with Original Hard Case,1,"TK85,000.00"
AllPartsSperzel6-in-lineGoldLockingTunersTK-7467-002,"Sperzel Locking Keys, Gold plated, 6L, 12:1, with bushings and washers. String posts have graduated heights . Single pin mount, no mounting screws needed. For 9/16"" - 11/16"" thick headstocks, requires 10mm (13/32"")-diameter holes.",1,"TK17,000.00"
SDST591,Seymour Duncan Little ‘59™ for Tele ST59-1  (Bridge) Black,1,"TK7,750.00"
SDSSl5-W,Seymour Duncan Strat® Custom Staggered SSL-5 (White),1,"TK6,250.00"
SDSHR1B-B,Seymour Duncan Hot Rails™ for Strat SHR-1 (Bridge) Black,1,"TK7,500.00"
AllPartsSB-5200-002OriginalFloydRoseLockingTremoloGold,"The original Floyd Rose® locking tremolo system in gold finish. Made in Germany by Schaller. Includes matching R2 locking nut, tremolo arm, string guide, and mounting hardware.",1,"TK45,000.00"
AllPartsPK-0154-025WhiteVolumeKnobs,"Volume Knobs (Qty 2), White, for Stratocaster® fits USA split shaft pots",1,TK600.00
Drums Maintenance,Dunlop 6400 System 65 Cymbal and Drum Care Kit,1,"TK1,750.00"
PowerSupplyAccessory,EHX 9v Power Adaptor,1,"TK1,250.00"
Bass Gig Bag,Carvin Bass Gig Bag,1,"TK3,000.00"
AllPartsPK-0153-025WhiteToneKnobs,"Tone Knobs (Qty 2), White, for Stratocaster® fits USA split shaft pots",1,TK600.00
